Year,ICD10_Code,ICD10_Diagnosis,Classification,Metric_Primary,Metric_Secondary,Metric_Tertiary,Value
2008/09,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,95185
2008/09,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,12079
2008/09,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,7966
2008/09,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,23495
2008/09,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,23217
2008/09,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,4291
2008/09,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,106638
2008/09,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,62051
2008/09,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,12604
2008/09,All,All admissions,Hospital admissions,Attributable number,All admissions,All persons,462900
2008/09,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,All persons,166100
2008/09,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,All persons,119400
2008/09,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,All persons,140800
2008/09,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,All persons,17600
2008/09,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,67400
2008/09,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,11700
2008/09,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,22400
2008/09,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3800
2008/09,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,900
2008/09,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,35900
2008/09,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3400
2008/09,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,4900
2008/09,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5600
2008/09,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,4200
2008/09,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,6100
2008/09,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,5400
2008/09,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,88000
2008/09,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,26000
2008/09,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,36800
2008/09,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,71900
2008/09,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7400
2008/09,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,15300
2008/09,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7500
2008/09,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,1800
2008/09,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,11800
2008/09,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,3900
2008/09,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,1800
2008/09,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,11800
2008/09,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,6600
2008/09,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,600
2008/09,All,All admissions,Hospital admissions,Number of admissions,All admissions,Male,4388181
2008/09,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Male,824868
2008/09,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Male,1343656
2008/09,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Male,466220
2008/09,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Male,997450
2008/09,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,Male,1158562
2008/09,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,46945
2008/09,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,12464
2008/09,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,23775
2008/09,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,3910
2008/09,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,.
2008/09,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,65495
2008/09,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,8424
2008/09,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,15643
2008/09,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,11237
2008/09,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,4996
2008/09,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,19862
2008/09,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,3383
2008/09,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,55529
2008/09,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,58747
2008/09,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,131438
2008/09,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,196424
2008/09,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,24213
2008/09,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,46598
2008/09,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,9266
2008/09,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,5024
2008/09,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,11875
2008/09,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,9696
2008/09,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,1709
2008/09,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,42615
2008/09,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,15599
2008/09,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,.
2008/09,All,All admissions,Hospital admissions,Attributable number,All admissions,Male,292300
2008/09,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,Male,117300
2008/09,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,Male,62400
2008/09,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,Male,97100
2008/09,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,Male,8800
2008/09,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,41200
2008/09,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,9200
2008/09,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,16800
2008/09,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3200
2008/09,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,.
2008/09,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,29900
2008/09,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3000
2008/09,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,4100
2008/09,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,2600
2008/09,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,2700
2008/09,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,4600
2008/09,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,3000
2008/09,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,44400
2008/09,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,15000
2008/09,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,24700
2008/09,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,52200
2008/09,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,4200
2008/09,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,8600
2008/09,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,5900
2008/09,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,1400
2008/09,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,6300
2008/09,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,1700
2008/09,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,800
2008/09,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,5200
2008/09,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,1500
2008/09,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,.
2008/09,All,All admissions,Hospital admissions,Number of admissions,All admissions,Female,5052078
2008/09,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Female,667372
2008/09,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Female,1413356
2008/09,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Female,462854
2008/09,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Female,744716
2008/09,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,Female,1193996
2008/09,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,35045
2008/09,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,4951
2008/09,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,9036
2008/09,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,756
2008/09,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,7117
2008/09,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,19678
2008/09,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,4519
2008/09,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,6201
2008/09,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,11071
2008/09,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,6592
2008/09,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,14512
2008/09,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,2896
2008/09,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,55714
2008/09,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,55809
2008/09,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,111306
2008/09,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,100222
2008/09,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,16803
2008/09,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,48587
2008/09,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,2813
2008/09,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,2942
2008/09,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,11620
2008/09,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,13521
2008/09,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,2582
2008/09,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,64023
2008/09,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,46452
2008/09,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,12604
2008/09,All,All admissions,Hospital admissions,Attributable number,All admissions,Female,170600
2008/09,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,Female,48800
2008/09,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,Female,57000
2008/09,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,Female,43700
2008/09,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,Female,8800
2008/09,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,26200
2008/09,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,2500
2008/09,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,5600
2008/09,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,600
2008/09,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,900
2008/09,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,6000
2008/09,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,400
2008/09,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,800
2008/09,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,2900
2008/09,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,1500
2008/09,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,1400
2008/09,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,2400
2008/09,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,43600
2008/09,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,11000
2008/09,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,12100
2008/09,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,19700
2008/09,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,3200
2008/09,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,6700
2008/09,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,1600
2008/09,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,400
2008/09,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,5500
2008/09,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,2200
2008/09,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,1100
2008/09,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,6600
2008/09,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,5100
2008/09,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,600
2007/08,All,All admissions,Hospital admissions,Number of admissions,All admissions,All persons,8869965
2007/08,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,All persons,1438801
2007/08,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,All persons,1322266
2007/08,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,All persons,419744
2007/08,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,All persons,851332
2007/08,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,All persons,1093242
2007/08,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,81887
2007/08,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,15722
2007/08,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,32864
2007/08,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,4528
2007/08,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,6588
2007/08,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,80829
2007/08,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,11823
2007/08,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,23339
2007/08,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,21662
2007/08,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,10847
2007/08,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,32539
2007/08,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,5674
2007/08,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,100267
2007/08,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,97752
2007/08,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,235222
2007/08,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,301073
2007/08,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,38079
2007/08,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,92322
2007/08,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,11668
2007/08,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,8578
2007/08,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,23201
2007/08,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,19970
2007/08,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,3561
2007/08,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,104753
2007/08,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,61897
2007/08,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,12156
2007/08,All,All admissions,Hospital admissions,Attributable number,All admissions,All persons,440400
2007/08,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,All persons,161200
2007/08,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,All persons,105800
2007/08,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,All persons,138600
2007/08,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,All persons,16500
2007/08,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,67300
2007/08,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,10500
2007/08,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,22200
2007/08,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3700
2007/08,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,800
2007/08,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,33700
2007/08,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3100
2007/08,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5100
2007/08,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5400
2007/08,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3900
2007/08,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5600
2007/08,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,4900
2007/08,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,79000
2007/08,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,21900
2007/08,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,35300
2007/08,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,72600
2007/08,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,6900
2007/08,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,14700
2007/08,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7200
2007/08,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,1900
2007/08,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,11600
2007/08,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,3300
2007/08,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,1500
2007/08,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,11500
2007/08,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,6300
2007/08,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,600
2007/08,All,All admissions,Hospital admissions,Number of admissions,All admissions,Male,4123309
2007/08,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Male,797400
2007/08,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Male,642115
2007/08,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Male,213945
2007/08,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Male,486864
2007/08,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,Male,540498
2007/08,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,48156
2007/08,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,11013
2007/08,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,23468
2007/08,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,3778
2007/08,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,.
